video,window_id,window_start_sec,window_end_sec,physical_max_score,physical_collision_frames,label
accident01.mp4,0,0.0,1.0,0,0,0
accident01.mp4,1,0.5,1.5,0,0,0
accident01.mp4,2,1.0,2.0,0,0,0
accident01.mp4,3,1.5,2.5,0,0,0
accident01.mp4,4,2.0,3.0,0,0,0
accident01.mp4,5,2.5,3.5,0,0,0
accident01.mp4,6,3.0,4.0,0,0,1
accident01.mp4,7,3.5,4.5,0,0,1
accident01.mp4,8,4.0,5.0,0,0,1
accident01.mp4,9,4.5,5.5,0,0,1
accident01.mp4,10,5.0,6.0,0,0,1
accident01.mp4,11,5.5,6.5,0,0,0
accident01.mp4,12,6.0,7.0,0,0,0
accident01.mp4,13,6.5,7.5,0,0,0
accident01.mp4,14,7.0,8.0,0,0,0
accident01.mp4,15,7.5,8.5,0,0,0
accident01.mp4,16,8.0,9.0,0,0,0
accident01.mp4,17,8.5,9.5,0,0,0
accident01.mp4,18,9.0,10.0,0,0,0
accident01.mp4,19,9.5,10.5,0,0,0
accident01.mp4,20,10.0,11.0,0,0,0
accident01.mp4,21,10.5,11.5,0,0,0
accident02.mp4,0,0.0,1.0,0,0,0
accident02.mp4,1,0.5,1.5,0,0,0
accident02.mp4,2,1.0,2.0,0,0,0
accident02.mp4,3,1.5,2.5,0,0,0
accident02.mp4,4,2.0,3.0,0,0,0
accident02.mp4,5,2.5,3.5,0,0,0
accident02.mp4,6,3.0,4.0,0,0,0
accident02.mp4,7,3.5,4.5,0,0,0
accident02.mp4,8,4.0,5.0,0,0,0
accident02.mp4,9,4.5,5.5,0,0,1
accident02.mp4,10,5.0,6.0,0,0,1
accident02.mp4,11,5.5,6.5,0,0,1
accident02.mp4,12,6.0,7.0,0,0,1
accident02.mp4,13,6.5,7.5,0,0,1
accident02.mp4,14,7.0,8.0,0,0,1
accident02.mp4,15,7.5,8.5,0,0,1
accident02.mp4,16,8.0,9.0,45,1,0
accident02.mp4,17,8.5,9.5,45,1,0
accident03.mp4,0,0.0,1.0,100,14,0
accident03.mp4,1,0.5,1.5,100,8,0
accident03.mp4,2,1.0,2.0,100,2,0
accident03.mp4,3,1.5,2.5,0,0,0
accident03.mp4,4,2.0,3.0,0,0,0
accident03.mp4,5,2.5,3.5,0,0,0
accident03.mp4,6,3.0,4.0,0,0,0
accident03.mp4,7,3.5,4.5,0,0,0
accident03.mp4,8,4.0,5.0,0,0,0
accident03.mp4,9,4.5,5.5,0,0,0
accident03.mp4,10,5.0,6.0,0,0,0
accident03.mp4,11,5.5,6.5,45,3,0
accident03.mp4,12,6.0,7.0,45,3,0
accident03.mp4,13,6.5,7.5,0,0,1
accident03.mp4,14,7.0,8.0,0,0,1
accident03.mp4,15,7.5,8.5,0,0,1
accident03.mp4,16,8.0,9.0,0,0,1
accident03.mp4,17,8.5,9.5,0,0,1
accident03.mp4,18,9.0,10.0,0,0,1
accident03.mp4,19,9.5,10.5,0,0,1
accident03.mp4,20,10.0,11.0,0,0,1
accident03.mp4,21,10.5,11.5,0,0,1
accident03.mp4,22,11.0,12.0,0,0,1
accident03.mp4,23,11.5,12.5,0,0,1
accident03.mp4,24,12.0,13.0,0,0,0
accident04.mp4,0,0.0,1.0,0,0,0
accident04.mp4,1,0.5,1.5,0,0,0
accident04.mp4,2,1.0,2.0,0,0,0
accident04.mp4,3,1.5,2.5,0,0,1
accident04.mp4,4,2.0,3.0,0,0,1
accident04.mp4,5,2.5,3.5,0,0,1
accident04.mp4,6,3.0,4.0,0,0,1
accident04.mp4,7,3.5,4.5,0,0,1
accident04.mp4,8,4.0,5.0,0,0,1
accident04.mp4,9,4.5,5.5,0,0,1
accident04.mp4,10,5.0,6.0,0,0,1
accident04.mp4,11,5.5,6.5,0,0,1
accident04.mp4,12,6.0,7.0,0,0,0
accident04.mp4,13,6.5,7.5,0,0,0
accident04.mp4,14,7.0,8.0,0,0,0
accident05.mp4,0,0.0,1.0,0,0,0
accident05.mp4,1,0.5,1.5,0,0,0
accident05.mp4,2,1.0,2.0,0,0,0
accident05.mp4,3,1.5,2.5,0,0,0
accident05.mp4,4,2.0,3.0,0,0,0
accident05.mp4,5,2.5,3.5,0,0,0
accident05.mp4,6,3.0,4.0,0,0,0
accident05.mp4,7,3.5,4.5,0,0,0
accident05.mp4,8,4.0,5.0,0,0,0
accident05.mp4,9,4.5,5.5,0,0,0
accident05.mp4,10,5.0,6.0,0,0,0
accident05.mp4,11,5.5,6.5,0,0,1
accident05.mp4,12,6.0,7.0,0,0,1
accident05.mp4,13,6.5,7.5,0,0,1
accident05.mp4,14,7.0,8.0,0,0,1
accident05.mp4,15,7.5,8.5,0,0,1
normal01.mp4,0,0.0,1.001,0,0,0
normal01.mp4,1,0.501,1.502,0,0,0
normal01.mp4,2,1.001,2.002,0,0,0
normal01.mp4,3,1.502,2.502,0,0,0
normal01.mp4,4,2.002,3.003,0,0,0
normal01.mp4,5,2.502,3.504,0,0,0
normal01.mp4,6,3.003,4.004,0,0,0
normal01.mp4,7,3.504,4.505,0,0,0
normal01.mp4,8,4.004,5.005,0,0,0
normal01.mp4,9,4.505,5.506,0,0,0
normal01.mp4,10,5.005,6.006,0,0,0
normal01.mp4,11,5.506,6.506,0,0,0
normal01.mp4,12,6.006,7.007,0,0,0
normal01.mp4,13,6.506,7.508,0,0,0
normal01.mp4,14,7.007,8.008,0,0,0
normal01.mp4,15,7.508,8.508,0,0,0
normal01.mp4,16,8.008,9.009,0,0,0
normal01.mp4,17,8.508,9.51,0,0,0
normal01.mp4,18,9.009,10.01,0,0,0
normal01.mp4,19,9.51,10.511,0,0,0
normal01.mp4,20,10.01,11.011,0,0,0
normal01.mp4,21,10.511,11.511,0,0,0
normal01.mp4,22,11.011,12.012,0,0,0
normal01.mp4,23,11.511,12.513,0,0,0
normal01.mp4,24,12.012,13.013,0,0,0
normal01.mp4,25,12.513,13.514,0,0,0
normal01.mp4,26,13.013,14.014,0,0,0
normal01.mp4,27,13.514,14.514,0,0,0
normal01.mp4,28,14.014,15.015,0,0,0
normal01.mp4,29,14.514,15.515,0,0,0
normal01.mp4,30,15.015,16.016,0,0,0
normal01.mp4,31,15.515,16.517,0,0,0
normal01.mp4,32,16.016,17.017,0,0,0
normal01.mp4,33,16.517,17.518,0,0,0
normal01.mp4,34,17.017,18.018,45,1,0
normal02.mp4,0,0.0,1.251,0,0,0
normal02.mp4,1,0.626,1.877,0,0,0
normal02.mp4,2,1.251,2.502,0,0,0
normal02.mp4,3,1.877,3.128,0,0,0
normal02.mp4,4,2.502,3.754,0,0,0
normal02.mp4,5,3.128,4.379,0,0,0
normal02.mp4,6,3.754,5.005,45,1,0
normal02.mp4,7,4.379,5.631,45,1,0
normal02.mp4,8,5.005,6.256,0,0,0
normal02.mp4,9,5.631,6.882,0,0,0
normal02.mp4,10,6.256,7.507,45,1,0
normal02.mp4,11,6.882,8.133,45,1,0
normal02.mp4,12,7.507,8.759,0,0,0
normal02.mp4,13,8.133,9.384,0,0,0
normal02.mp4,14,8.759,10.01,0,0,0
normal02.mp4,15,9.384,10.636,0,0,0
normal02.mp4,16,10.01,11.261,0,0,0
normal02.mp4,17,10.636,11.887,0,0,0
normal02.mp4,18,11.261,12.512,0,0,0
normal02.mp4,19,11.887,13.138,0,0,0
normal02.mp4,20,12.512,13.764,90,1,0
normal02.mp4,21,13.138,14.389,90,1,0
normal02.mp4,22,13.764,15.015,0,0,0
normal02.mp4,23,14.389,15.641,0,0,0
normal02.mp4,24,15.015,16.266,0,0,0
normal02.mp4,25,15.641,16.892,45,1,0
normal02.mp4,26,16.266,17.517,45,1,0
normal02.mp4,27,16.892,18.143,0,0,0
normal02.mp4,28,17.517,18.769,0,0,0
normal02.mp4,29,18.143,19.394,45,4,0
normal02.mp4,30,18.769,20.02,45,4,0
normal03.mp4,0,0.0,1.251,0,0,0
normal03.mp4,1,0.626,1.877,0,0,0
normal03.mp4,2,1.251,2.502,0,0,0
normal03.mp4,3,1.877,3.128,45,5,0
normal03.mp4,4,2.502,3.754,45,5,0
normal03.mp4,5,3.128,4.379,0,0,0
normal03.mp4,6,3.754,5.005,0,0,0
normal03.mp4,7,4.379,5.631,0,0,0
normal03.mp4,8,5.005,6.256,0,0,0
normal03.mp4,9,5.631,6.882,45,1,0
normal03.mp4,10,6.256,7.507,45,1,0
normal03.mp4,11,6.882,8.133,0,0,0
normal03.mp4,12,7.507,8.759,0,0,0
normal03.mp4,13,8.133,9.384,0,0,0
normal03.mp4,14,8.759,10.01,0,0,0
normal03.mp4,15,9.384,10.636,0,0,0
normal03.mp4,16,10.01,11.261,0,0,0
normal03.mp4,17,10.636,11.887,45,5,0
normal03.mp4,18,11.261,12.512,45,5,0
normal03.mp4,19,11.887,13.138,0,0,0
normal03.mp4,20,12.512,13.764,0,0,0
normal03.mp4,21,13.138,14.389,0,0,0
normal03.mp4,22,13.764,15.015,0,0,0
normal03.mp4,23,14.389,15.641,0,0,0
normal03.mp4,24,15.015,16.266,0,0,0
normal03.mp4,25,15.641,16.892,0,0,0
normal03.mp4,26,16.266,17.517,0,0,0
normal03.mp4,27,16.892,18.143,0,0,0
normal03.mp4,28,17.517,18.769,0,0,0
normal03.mp4,29,18.143,19.394,0,0,0
normal03.mp4,30,18.769,20.02,0,0,0
normal03.mp4,31,19.394,20.646,50,1,0
normal03.mp4,32,20.02,21.271,50,1,0
normal03.mp4,33,20.646,21.897,45,3,0
normal03.mp4,34,21.271,22.522,45,4,0
normal03.mp4,35,21.897,23.148,60,3,0
normal03.mp4,36,22.522,23.774,60,2,0
normal03.mp4,37,23.148,24.399,0,0,0
normal03.mp4,38,23.774,25.025,0,0,0
