ml_threshold,physical_threshold,minimum_windows,gap,minimum_collision_frames,accuracy,precision,recall,f1,tn,fp,fn,tp
0.35,20.0,1.0,1.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,20.0,1.0,1.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,20.0,1.0,2.0,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,20.0,1.0,2.0,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,20.0,1.0,2.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,20.0,1.0,2.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,25.0,1.0,1.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,25.0,1.0,1.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,25.0,1.0,2.0,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,25.0,1.0,2.0,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,25.0,1.0,2.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,25.0,1.0,2.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,30.0,1.0,1.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,30.0,1.0,1.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,30.0,1.0,2.0,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,30.0,1.0,2.0,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,30.0,1.0,2.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,30.0,1.0,2.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,35.0,1.0,1.5,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,35.0,1.0,1.5,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,35.0,1.0,2.0,0.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
0.35,35.0,1.0,2.0,1.0,0.6,1.0,0.2,0.3333333333333333,5,0,4,1
